code,drug_name,matched_product_name_en,matched_product_name_ar,matched_store_product_id,match_score,verified,match_method
59611,MANTINE 10 MG 30 TAB,MANTINE 10 MG 30 F.C. TAB.,مانتين 10 مجم 30 اقراص,2127372.0,90.9,algo_match,brand_index
90697,MAPI PLUS 20CAP,MAPI PLUS 20 CAP,مابي بلس 20 كبسول,2511847.0,96.8,algo_match,brand_index
90943,MARCAL PLUS 30 F.C. TABS.,MARCAL PLUS 30 TABS,ماركال بلس 30 اقراص,2347023.0,90.5,algo_match,brand_index
14711,MARCAL TAB,MARCAL 30 TABS,ماركال 30 اقراص,2127381.0,83.3,ai_confirmed,ai_verified
91417,MARCRISA 2% TOPICAL OINT. 30 GM,MARCRISA OINT 30 GM,ماركريزا مرهم 30 جم,2330865.0,100.0,algo_match,token_set_ratio
83906,MAREVAN 1MG 102TABLETS,,,,,,no_match
83905,MAREVAN 3MG 102 TABLETS,,,,,,no_match
83907,MAREVAN 5MG 102TABLETS,,,,,,no_match
83931,MARIVO MASSAGE GEL 50 GM,MARIVO MASSAGE GEL 50 GM,ماريفو مساج جل 50 جم,2530621.0,100.0,algo_match,brand_index
47089,MARK FAST 30 CAP,MARK FAST 30 CAPS.,مارك فاست 30 كبسول,905049.0,97.0,algo_match,brand_index
83097,MARNYS NOBILETIL10*11,,,,,,no_match
80951,MARNYS omega 3 120ml syrup,,,,,,no_match
82053,MARNYS PROTECT SYRUP,MARNYS PROTECT SYRUP 125 ML,مارنيز بروتيكت شراب 125 مل,2561195.0,85.1,ai_confirmed,ai_verified
89552,MARONAL 30 TABLETS,,,,,,no_match
52060,MARPALENE 0.1% CREAM 30 GM,MARPALENE 0.1 % TOPICAL CREAM 30 GM,ماربالين 0.1 % كريم 30 جم,1301086.0,82.0,ai_confirmed,ai_verified
75861,marsalaz 500mg 30 cap,,,,,,no_match
92082,marshmallow whitening cream,,,,,,no_match
80384,MARTAVIVA 2MG/0.03MG 21TABS,,,,,,no_match
75641,MARVEL 100GM CREAM,MARVEL HAIR CREAM 100 GM,مارفيل كريم 100 جم,2530623.0,85.7,ai_confirmed,ai_verified
9925,MARVIT CAP,,,,,,no_match
59816,MARVIT SYRUP FOR CHILDREN 100 ML,,,,,,no_match
81036,MARVITENSE 20/5/12.5 30 TABS,,,,,,no_match
76759,MARVITENSE 40/10/25 MG 30 TAB,MARVITENSE 40 / 10 / 25 MG 30 F.C. TABS.,مارفيتنس 40 / 10 / 25 مجم 30 اقراص,2099516.0,80.0,ai_confirmed,ai_verified
79585,MARVITENSE 40/5/12.5 mg 30 TABS,MARVITENSE 40 / 5 / 12.5 MG 30 F.C. TABS.,مارفيتنس 40 / 5 / 12.5 مجم 30 اقراص,2342313.0,82.0,ai_confirmed,ai_verified
87694,MARVY D 15 ML DROP,MARVY D ORAL DROPS 15 ML,مارفي دي قطره بالفم 15 مل,2197966.0,85.7,ai_confirmed,ai_verified
82175,MASA CREAM MASSAGE 50GM,MOVY MASA MASSAGE CREAM,موفي ماسا مساج كريم,2603707.0,87.8,ai_confirmed,ai_verified
88005,MASSERA NASSAGE CREAM 50 GM,MASSERA MASSAGE GEL 50 GM,ماسيرا مساج جل 50 جم,1675630.0,84.6,ai_confirmed,ai_verified
91416,MASTERKEEN 30 ML DROPS,,,,,,no_match
MAT,MATRIX 20 CAPS.,,,,,,no_match
79586,MATUJAC 60 MG 3 F.C. TABS,MATUJAC 60 MG 3 F.C. TABS.,ماتيوجاك 60 مجم 3 اقراص,2145354.0,100.0,algo_match,brand_index
87778,MAVALA EYE CARE DOUBLE-LASH 10 ML,,,,,,no_match
