product_name_ar,product_name_en,store_product_id
ابيروفاستين 40 مجم 14 اقراص,EPIROVASTIN 40 MG 14 TAB,2498049
ابيريزين 10 مجم 10 اقراص,EPIRIZINE 10 MG 10 TAB.,1555218
ابيريزين 5 مجم / مل شراب 60 مل,EPIRIZINE 5 MG / ML SYRUP 60 ML,2191727
ابيزيثرو 200 مجم / 5 مل 15 مل شراب,EPIZITHRO 200 MG / 5 ML 15 ML SUSP,2265899
ابيزيثرو 200 مجم / 5 مل 30 مل شراب,EPIZITHRO 200 MG / 5 ML 30 ML SUSP,1839394
ابيزيثرو 500 مجم 3 كبسول,EPIZITHRO 500 MG 3 CAPS,2401797
ابيزيثرو 500 مجم 6 كبسول,EPIZITHRO 500 MG 6 CAPS,2560244
ابيستجمين 0.05 % 5 امبول 1 مل,EPISTIGMIN 0.05 % 5 AMPOULES 1 ML,1738416
ابيستجمين 0.25 % 1 امبول 5 مل,EPISTIGMIN 0.25 % VIAL 5 ML,2434928
ابيسوبت قطره 5 مل,EPISOPT EYE DROPS 5 ML,2434929
ابيسيفين 1 جم امبول عضل,EPICEPHIN 1 GM I.M.VIAL,2671551
ابيسيفين 1 جم امبول وريد,EPICEPHIN 1 GM I.V. VIAL,2126756
ابيسيفين 2 جم امبول وريد,EPICEPHIN 2 GM I.V. VIAL,2559887
ابيفاسي 5000 وحده امبول,EPIFASI 5000 I.U. AMP.,2186072
ابيفورتيل 30 كبسول,APIFORTYL 30 CAPS.,2642743
ابيفيناك 0.1 % قطره 5 مل,EPIFENAC 0.1 % EYE DROPS 5 ML,925434
ابيفيناك 100 مجم 5 لبوس,EPIFENAC 100 MG 5 RECTAL SUPP.,1608263
ابيفيناك 12.5 مجم 5 لبوس,EPIFENAC 12.5 MG 5 SUPP.,919485
ابيفيناك 25 مجم 20 اقراص,EPIFENAC 25 MG 20 ENTERIC COATED TAB.,2050451
ابيفيناك 25 مجم 5 لبوس,EPIFENAC 25 MG 5 SUPP.,1700729
ابيفيناك 50 مجم 20 اقراص,EPIFENAC 50 MG 20 ENTERIC COATED TAB.,2208637
ابيفيناك 50 مجم 5 لبوس,EPIFENAC 50 MG 5 SUPP.,2668930
ابيفيناك 75 مجم / 3 مل 3 امبول,EPIFENAC 75 MG / 3 ML I.M. / I.V. 3 AMP.,2113291
ابيفيناك اس ار 100 مجم 10 كبسول,EPIFENAC 100 MG S.R. 10 CAPS.,1519364
ابيفيناك اس ار 75 مجم 10 اقراص,EPIFENAC 75 MG S.R. 10 TABS.,2434933
