كود,إسم الصنف,سعر البيع
91674,ALDOSPIRA 50 MG 20 TABS,149.0
90888,ALEAVIA 15ML,35.0
88292,ALEJON FACIAL MOIST GEL 75 MG,210.0
88205,ALEJON OFFER (SUN GEL + SUN GEL)1+1,300.0
75076,ALERGOLIBER 10 MG 20 TAB,60.0
81240,ALERGOLIBER 120 ML SYRUP,53.0
85157,ALERID 10 MG 30 TABS,93.0
79175,ALERID 120ML SYRUP,13.5
47269,ALERTAM 120 MG 10 TAB,33.0
28481,ALERTAM 180 MG 10 TAB,54.0
88397,ALEXOLYTE 360ML BANANA FLAVOR,55.0
83144,ALEXOLYTE 360ML ORANGE FLAVOR SYRUP,55.0
83145,ALEXOLYTE 360ML PINEAPPLE FLAVOR,55.0
86358,ALEXOLYTE 360ML STRAWBERRY FLAVOR,55.0
77044,ALFACALCIDOL 2MCG/ML 10 ML DROPS,86.0
74143,ALFACARENO 2MCG/ML ORAL DROPS. 10 ML,152.0
29155,ALFACEF 750 MG 5TAB,60.0
89531,ALFAMASH 30 E.C. TABS,165.0
82005,ALFASPECT 750 MG 7 TABS,114.0
89714,ALFATHROMB 5 MCG 20 TABS.,132.0
81419,ALGANOUO MASSAGE SPRAY 125ML,140.0
18992,ALGASON CREAM 40 GM,46.0
73563,ALGESAL CREAM 40 GM,46.0
91644,ALGIAFREE MASSAGE CREAM 100GM,124.0
73284,ALKA MISR POWDER 10 SACHETS,40.0
83035,ALKAFTAPRO EYE DROP,95.5
75736,ALKAPRESS PLUS 10/160 mg 20 tab,102.0
58980,ALKAPRESS PLUS 5/160 mg 14 tab,80.0
46307,ALKAPRESS 10 MG 30 TAB,108.0
73855,ALKAPRESS 5 MG 20 TAB,58.0
85177,ALKAPRESS TRIO 10/320/25MG 14 F.C. TABS.,118.0
85176,ALKAPRESS TRIO 5/160/12.5MG 14 F.C. TABS.,97.0
85175,ALKAPRESS TRIO 5/160/25MG 14 F.C. TABS.,110.0
74650,ALKAPRIDE 50 MG 30 TAB,90.0
73232,ALL- VENT SYRUP 125 ML,34.0
74978,ALLEAR 5 MG 20 TAB,78.0
47841,ALLEAR SYRUP 120ML,44.0
10473,ALLERBAN S.R 2 MG 20 TAB,38.0
10478,ALLERBAN SYRUP 120ML,33.0
66026,ALLERDEP NASAL SPRAY 60ML,300.0
62367,ALLERFEN 180 MG 20 TAB,84.0
82095,ALLERGETONE 10 MG 20 TABS.,66.0
1027,ALLERGEX CAFFEINE 20 TAB,4.75
2428,ALLERGEX CREAM 20 GM,8.0
81200,ALLERGICASONE NASAL SPRAY,92.0
64313,ALLERGYL 4 MG 20 TAB,6.0
22684,ALLERGYL SYRUP 120 ML,26.0
79379,ALLERZONE 0.1% CREAM 25 GM,40.0
58706,ALLEVO TAB 5 MG 20 TAB,52.0
86078,ALLINPHI ADULT 30 TABS,195.0
83860,ALOEKITA ANTI DANDRUFF SHAMPOO,200.0
67530,ALOEKITA CAFFEINE RICH ds da SHAMPOO 250 ML,250.0
55266,ALOEKITA CAFFEINE SHAMPOO 200 ML,199.0
84512,ALOEKITA HAIR GROWTH SPRAY 200 ML,399.0
92260,ALOEKITA LEAVE IN CREAM 120GM,199.0
4422,ALPHA CHYMOTRYPSIN AMP,65.0
87091,ALPHABRINZIMA EYE DROPS,150.0
89532,ALPHAFEN 600MG 30 TAB,84.0
90013,alphalipo 600 20tab,150.0
64098,ALPHANOVA OPHTALMIC SOLUTION 5 ML,57.0
61831,ALPHANOVA PLUS OPHTALMIC SOLUTION 5 ML,62.0
87956,ALPHAVIM 300 - 20 CAPS,160.0
86156,ALPHAVIM 600 MG 20 TAB,290.0
alp,ALPHINTERN 30 F.C. TABS.,87.0
78407,ALTIAZEM 60MG 40-TAB,68.0
22510,ALVEOLIN P SYRUP,50.0
22509,ALVEOLIN SYRUP,32.0
84635,ALVERINSPASM 24 CAPS,74.0
76789,ALZENTAL 200 MG 6 TAB,33.0
18450,ALZENTAL SUSP,21.0
65958,ALZEPIZIL 10 MG 14 TAB,107.0
65956,ALZEPIZIL 5 MG 14 TAB,62.0
58927,ALZMENDA 10 MG 21 TAB,75.0
60587,ALZMENDA 10 MG ORAL DROPS,54.0
65695,ALZMENDA 20 MG 21 TAB,66.0
58926,ALZMENDA 5 MG 14TAB,44.0
