كود,إسم الصنف,سعر البيع
57200,COVERAM 5 MG/ 5 MG 15 TAB,125.0
65643,COVERAM 5 MG/ 5 MG 30 TAB,247.0
47512,COVERSYL 5 MG 30 TAB,88.0
72203,COVERSYL PLUS 10/2.5 MG 15 TAB,118.0
60894,COVERSYL PLUS 5 MG/1.25MG 15 TAB,84.0
85049,COXINORIN 90 MG 30 TABS,169.5
88160,COXRITOR 60 MG 14 F.C TABLETS,92.0
87816,COXRITOR 60 MG 30 F.C TABLETS,282.0
82749,COXRITOR 90MG 30 TABS,297.0
COX,COXTORI 60MG 14TAB,92.0
33027,COZAAR 100MG TAB,102.0
16184,COZAAR 50MG TAB,74.5
90800,CRANBERRY 30 CAPS,55.0
85128,CRANBY 20 CAP,130.0
67293,CRESTATIN 10 MG 30 TAB,105.0
55968,CRESTOLIP 10 MG 30 TAB,108.0
55967,CRESTOLIP 20 MG 30 TAB,141.0
73926,CRESTOR 10 MG 28 TAB,368.0
73639,CRESTOR 20 MG 14 TAB,230.0
86371,CRESTOR 20 MG 28 TABS,600.0
88932,CRESTOR 5 MG 28 TABS,264.0
85278,CRYOVERD MASSAGE EMULGEL,140.0
90673,CRYOVERD MASSAGE EMULGEL 50GM,85.0
60207,CRYPTONAZ 12 TAB,82.0
46822,CRYPTONAZ SUSP,39.0
66003,CRYPTOPER SUSP 60 ML,39.0
90318,CUIDADO 30 TABS,135.0
73490,CURAM 1GM TAB 12 tab,182.0
74845,CURAM 312.5MG SUSP 75 ml,82.0
48289,CURAM 457MG/5ML 70 ML,97.0
74281,CURAM 625MG 12TAB,108.0
90221,CURAM 642.9MG/5ML SANDOZ,113.0
62125,CURISAFE 1 GM 8 F.C. TABS.,76.0
74531,CURISAFE 500MG 8 CAP,45.0
63198,CURISAFE 500MG SUSP60ML,35.5
79732,CUSHION 10 SACHETS,205.0
74106,CYANARO 1% OPHTHALMIC SOLUTION 2.5 ML,34.0
92248,CYANARO PLUS EYE DROPS 5 ML,74.0
86317,CYANOHEPTAN 6 I.M. AMP. 2 ML,114.0
80949,CYBREAK MASSAGE SPRAY 100 ML,85.0
CYC,CYCLO-PROGYNOVA 21 F.C. TAB. (BIPHASIC),76.0
81701,CYCLOFLEX 5 MG 20 F.C. TAB.,40.0
79285,CYCLOGEST 400MG,406.0
32955,CYCLOPHRINE DROPS,13.0
73656,CYMBALTA 30 MG 28 CAP,399.0
74035,CYMBALTA 60 MG 28 CAP,544.0
64446,CYMBATEX 20MG 30CAP,174.0
73223,CYMBATEX 30MG 30 CAP,228.0
74522,CYMBATEX 60MG 30CAP,295.5
12120,CYNCHOLINE 20 CAP,20.0
81843n,cypentola e drop,83.0
48092,CYSTINOL CAP,60.0
12260,CYSTONE 60TAB,123.0
20482,CYTEAL ANTISEPTIC FOAMING SOLN. 250 ML,140.0
CYTO,CYTOTEC 200 MG 14 TABS +++IMP,1120.0
86018,CYTOTEC 200 MG 42 TABS ++++IMP,3360.0
81524,D DEP 1.000 I.U 30 CAPS 2 STRIP,200.0
85477,D DEP 10.000 I.U 30 CAPS 2 STRIP,300.0
80998,D DEP 5.000 I.U 30 CAPS 2 STRIP,250.0
89686,D.DEP ORAL DROPS 15 ML,250.0
90575,D.K DUO D3*K2 10ML,75.0
84833,D3 TAG DROP,69.0
88230,DABUR MISWAK ORIGINAL,45.0
89953,DAFLOFIX 20TAB,120.0
91542,DAFLOFIX 30 F.C TABS,180.0
83776,DAFLON 1000MG 30 F.C. TABS.,354.0
83776,daflon 1000mg 30tab,125.0
73206,DAFLON 500 MG 30 TAB,236.0
73640,DAFREX 15 F.C. TABS.,75.0
88058,DAGO ANTI DANDRUFF SHAMPOO 250 ML,300.0
82388,DAGO PLUS 250ML SHAMPOO,350.0
92241,DAILYVIT D3 4000 IU 30 CAPS,360.0
12396,DAKTACORT CREAM 15 GM,48.0
74091,DAKTARIN CREAM,28.0
27753,DALACIN C 300MG 10 CAPS.,114.0
34340,DALACIN C 600MG AMP,148.0
18108,DALACIN VAGINAL CREAM,58.5
82815,DALFAROSIS 10MG TAB,352.0
88698,DALOLIFE 10 SACHETS,120.0
60750,DAN OFF HAIR SHAMPOO 250ML,185.0
46758,DANDEL ANTI DANDRUF SHAMPOO 250 ML,180.0
76222,DANDEL CREAM INTENSIVE REPAIR&COND 100GM,150.0
73934,DANSET 4 MG 3 AMP/2 ML,82.5
75645,DANSET 4MG/2ML 1 AMP.,26.33
75638,DANSET 8MG 1 AMP,37.83
75077,DANSET 8MG 3AMP,142.5
dan,DANSHIRO MOUTH SPRAY 30ML,50.0
73851,DANTRELAX 30 CAP,147.0
73818,DANTRELAX COMPOUND 30CAP,153.0
58297,DAONIL 30 TAB,11.0
83674,DAPABLIX 10 MG 30 TABS,186.0
87718,DAPABLIX 5 MG 30 TABLETS,117.0
84382,DAPABLIX MET XR 10 /1000 MG 30 TABS,216.0
80517,DAPAGLIF 10MG 14TABLETS,178.0
88210,DAPAGLIFLOZIN-EVA 10 MG 30 F.C. TABS.,271.5
81526,DAPAVELDACTIN 10 MG 30 TABS,368.0
81525,dapaveldactin 5 mg tab,268.0
81316,DAPAVELDACTIN 5/850 PLUS 28 TABS,200.0
79537,DAPAVELDACTIN PLUS 5/1000,200.0
65950,DAPOXTARD 60 MG 3 TAB,58.0
84560,DAPOXTARD 60 MG 6 TAB,78.0
90767,DAPSOCYRL 30G TOPICAL GEL,119.0
67310,DAPSON 100 MG 20 TAB,158.0
edarfpoi,darjaer4mta,104.0
77496,DAVALINDI 1000IU 100 TABS,77.0
87614,DAVALINDI 200.000 IU/ML 2 AMPOULES,56.0
516112,DAVALINDI 5000MG 30 TABS,55.0
83768,DAVALINDI VIT D3 10.000 I.U 30 TABS,78.0
85572,DECAFORTIS 1000MG/4ML AMP.,200.0
5372,DECAL B12 SYRUP,25.0
63919,DECANCIT S.R 20 F.C. TAB,42.0
77466,DECAPEPTYL 0.1MG/ML 7 SYRINGES,1050.0
82653,DECAPRENO 200.00 I.U/1ML 2 AMP,58.0
6934,DECLOPHEN 100mg 5 SUPPS,21.0
62707,DECLOPHEN 12.5 MG SUPP,14.0
57420,DECLOPHEN 25 MG SUPP,15.0
74656,DECLOPHEN 3AMP,36.0
75865,DECLOPHEN GEL30GM.,29.0
76986,deconadal 10mg,82.5
85489,DECONADAL 20 MG 21 F.C. TABS.,126.0
74145,DECONGESTYL SUPP,56.0
82457,DEEP FREEZE cold GEL,138.0
78498,deep freeze gel 100gm,400.0
83685,DEEP FREEZE PAIN RELIEF COLD SPRAY 125 ML,138.0
78495,DEEP FREEZE PAIN RELIEF COLD SPRAY 150 ML,320.0
85229,DEGREASIAN 1 GM 28 S.G. CAPS.,384.0
89356,DEKADEL 200MG/5ML ORAL SOLUTION 125 ML,38.0
88024,DELAREX 5MG 30 TAB,72.0
75748,DELAREX syrup,25.0
90198,DELECAR CREAM 50 GM,199.0
64292,DELEPE 60 MG 3 TAB,60.0
88114,DELEPE 60 MG 6 TABS,120.0
61322,DELMOXA 400 MG 5 TAB,79.0
91405,DELOITTE BONE 30 CAPS,345.0
91863,DELOITTE MAG 20 TABS,150.0
91685,DELOITTE ROSE 20 CAPS,190.0
86975,DELPANTO 40MG 14 E.C.TABS,84.0
88423,DELTACLAV 1 GM 14 F.C.TAB,130.0
39921,DELTACLAV 457 MG SUSP 80 ML,89.0
83896,DELTACLAV 642.9MG/5ML PD. FOR ORAL SUSP. 75ML,108.0
73534,DELTARHINO NASAL SPRAY,30.0
74565,DELTASONE 0.75 MG 30 TAB,36.0
73133,DELTAVIT B12 TAB,75.0
85137,DELZOSIN 500MG 6TAB,96.0
89911,DELZOSIN 600MG 6 F.C. TAB,104.0
75334,DEMAFIGHT 5 MG 30 TAB,96.0
82428,demancortil 2 mg amp,24.0
58285,DEMARK CREAM 100 GM,140.0
86113,DEMAS D3 10.000 I.U 30 TABS,150.0
90626,DENDRA 30TAB,315.0
73973,DENSITIN 30 CAP,96.0
73262,DENTINOX INFANT COLIC DROPS 30 ML,103.0
79162,depa calcium 120ml SYRUP,31.0
90167,depa dolls massage cream,80.0
73901,DEPAKINE 200 MG 40 TAB,80.0
81108,DEPAKINE CHRONO 500MG TABS,144.0
73660,DEPAKINE DROPS,47.0
73838,DEPAKINE SYRUP 125 ML,50.0
75393,DEPO-PEN 1.2 MIU VIAL.,25.0
91049,DEPO LUTIN 30 CAP,230.0
79315,DEPOFORT B12 1MG/ML 5 AMP.,55.0
47683,DEPOVIT B12 3AMP,51.0
DT,DEPOVIT B12 5 AMP,85.0
92300,DEPOVIT PLUS 30 LOZENGES,135.0
46782,DEPRAM 20MG TAB,104.0
82842,DEPRAM 40MG 20TAB,140.0
90529,DEPRATIOX 10 MG 20 F.C. TABS,206.0
5219,DEPREBAN CAP,26.0
74613,DERILGY 60MG 3CAP,120.0
86472,DERILGY 60MG 6CAP,120.0
50767,DERMA-TULLE 10-20,10.0
87948,DERMA ACTIVE ACTI-CLEAR FOAMING GEL 250 ML,250.0
87939,DERMA ACTIVE ACTI-REPAIR GEL 200 ML,225.0
87940,DERMA ACTIVE ACTI-SOLAIRE +50MELATING CREAM 50 ML,300.0
87801,DERMA ACTIVE ACTI-WHITE DEPIGMENTING CREAM 50 ML,239.0
88066,DERMA ACTIVE ACTI REPAIR EMOLLIENT EXTREME 200 ML,300.0
90864,DERMA ACTIVE ACTI REPAIR FOOT CREAM 60ML,200.0
87773,DERMA ACTIVE ANTI HAIR LOSS SHAMPOO 200 ML,220.0
87339,DERMA ACTIVE BODY MILK 2*1 200ML,330.0
88201,DERMA ACTIVE GLOBAL CREAM GEL 50 ML,265.0
87905,DERMA ACTIVE SUN PROTECT FLURIED + 50 ML,300.0
77910,DERMA SOFT CREAM,55.0
89512,DERMA SOFT PLUS CREAM 100 GM,180.0
75710,DERMA SOFT PLUS CREAM 60 GM,118.0
28288,DERMA WHITE CREAM 30gm.,90.0
90172,dermactive tricho-act HAIR SKIN&NAILS 60 GUMMIES,310.0
10489,DERMATIN CREAM,15.0
22373,DERMOCALM LOTION 120 ML,70.0
19142,DERMOFIX CREAM,51.0
73585,DERMOVATE CREAM 25 GM,44.0
74098,DERMOVATE OINT,44.0
74125,DESA 5 MG 20TAB,70.0
74408,DESA SYRUP 100 ML,31.0
81884,DESIO SOLUTION 100ML,240.0
81356,DESLORASTAMINE SYRUP,34.0
91705,DESMODJUST 0.1 30TAB,210.0
91857,DESMODJUST 0.2 30TAB,342.0
47273,DEVAROL-S-200.000 I.U 1 AMP,34.0
83855,DEVART D3 1000 I.U 30 TABS,75.0
76161,DEVIT-3 1 AMP IMP,200.0
46850,DEXAFLOX 5 ML EYE DROPS,53.0
73955,DEXAGLOBE 1AMP,30.0
dex,DEXAMETHASONE-AMRIYA 8MG/2ML 3 AMP,36.0
dxi,DEXAMETHASONE-INAD 8MG/2ML 3AMP,36.0
61463,DEXAMETHASONE 8 MG 5AMP,60.0
DX,DEXAMETHAZONE 5 AMP MUP,65.0
78553,DEXAMETHSONE 5-AMP EPICO,50.0
79316,DEXANOCORTEN 8MG/2ML 3 AMP,30.0
29252,DEXAPHEN SYRUP,24.0
84410,DEXATHALM 3ML20 UNIT SOLUTION,136.0
84409,DEXATHALM 5ML SOLUTION,82.0
75348,DEXATOBRIN DROPS,37.0
48068,DEXATOBRIN EYE OINT. 5 GM,37.0
2354,DEXATROL DROPS,27.0
75153,DEXATROL EYE OINT. 5 GM,27.0
84925,dexawest 60 mg 14 cap,136.0
82928,DEXAZONE 60 TAB,51.0
89692,DEXIGLOFOZIN 10 MG 30 F.C. TABS,195.0
89658,DEXIGLOFOZIN PLUS 10/1000,231.0
75410,DEXKETO CARE 25 MG 30 TAB,48.0
59027,DEXTRAFAST 25 MG 20 TAB,34.0
46771,DG-CARE MOUTHWASH CLOVE 125 ML,35.0
78334,DG Care M.W Flourid,35.0
64792,DHEA 50 MG 100 TAB Puritans,1540.0
46774,DIABENOR 2MG 30TAB,36.0
80021,DIABENOR 3MG 30TABS,40.5
80027,DIABETIN 15MG 30TABS,75.0
46766,DIABETIN 30MG 30TAB,105.0
47545,DIABETONORM 45 MG 15 TAB,50.0
63225,DIACALDERM TOPICAL OINT. 20 GM,88.0
73394,DIACEREIN 30 CAP,156.0
81072,DIACURIMAP 10 MG,204.0
80023,DIACURIMAP 25MG 30TABS,204.0
86972,DIACURIMAP PLUS 10/5 MG 30 TAB,354.0
86971,DIACURIMAP PLUS 25/5 MG 30 TAB,354.0
80017,DIAFLOZIMET 10/1000MG 30TABS,258.0
81670,diaflozimet 10/500 tab,258.0
80018,DIAFLOZIMET 5/1000MG 30TABS,190.5
80016,DIAFLOZIMET 5/500MG 30TAB,190.5
54994,DIAMEDIZEN 60 MR 30 TAB,72.0
DI30,DIAMICRON 30 MR 30 TAB,80.0
DI60,DIAMICRON 60 MR 30 TAB,156.0
74620,DIAMONRECTA 20MG 2 CAP,70.0
77711,DIAMONRECTA 20MG 4 TABS,140.0
90941,DIAMONRECTA 20MG 5 FLIM,125.0
78597,DIAMONRECTA 5MG 30-TAB,187.5
81172,Diane imp,400.0
48016,DIAPER CREAM,75.0
DI,diaper oint,75.0
56744,DIASMECT 10 SACHETS,21.0
56791,DIASMECT 60 ML SUSP,23.0
79165,DIASTOP SUSP. 60ML,30.0
29211,DIAVANCE 5MG TAB,51.0
74816,DIAX 200 MG 12 CAP,21.0
73406,DIAX 220MG/5ML 60ML SUSP.,32.0
78599,DIBAVALLY 50MG 28TABS,116.0
80026,DIBAVALLY PLUS 50/1000MG 28TABS,184.0
67326,DICETEL 100MG 20TAB,82.0
74286,DICLAC-N 4% GEL 30 GM,36.0
88545,DICLAC-N 4% GEL 50 GM,72.0
81032,DICLAC 150 ID 20 TABS,132.0
89834,DICLAC 75 MG 20TAB,135.0
89059,DICLAC 75 MG 30 TABS,135.0
74704,DICLAC 75 MG 5 AMP,55.0
88328,DICLAC 75 MG 6 AMPOULE,45.0
59103,DICLASIUM 50 MG 10 TAB,54.0
91890,DICLOFLAM 50MG 10 SUGAR COATED TAB,14.5
63927,DICLONATRIUM 75 MG SR 20 TAB,58.0
87575,DICLOPRO 150 MG ID 20 TABS,106.0
95543,DICLOPRO 50 GM GEL,52.0
83884,DICLOPRO K 50 MG 10 SACHET,50.0
89297,DICLOSP S.R. 75MG 30 F.C. TABS,73.5
74129,DICYNONE 250 MG 3 AMP,42.0
22959,DICYNONE 500MG TAB,102.0
80325,DiCytotec 200MCG 28TABS,1050.0
90290,dicytotec 28 tabs,1120.0
87371,DIDDER CREAM 75 MG,130.0
86718,DIENODIVA 2/0.03 MG 21 TAB,83.0
4772,DIET SWEET 100TAB,34.0
4760,DIET SWEET 350TAB,74.0
4785,DIET SWEET 50TAB,23.0
73907,DIFLUCAN 150MG CAP,140.0
36783,DIFLUCAN 2mg VIAL 50ML,140.0
74720,DIFLUCAN 50 MG 7,179.0
58989,DIFLUCAN VIAL 2 MG 100 CM3,140.0
47619,DIFLUSTERO 0.5% OPHTHALMIC EMULSION 5 ML,45.0
90631,DIGEASIA CAPS,98.0
47748,DIGENORM 120 ML SYRUP,55.0
74758,DIGEST EZE 20 CAPS.,94.0
74236,DIGESTIN 20 TAB,42.0
81523,DIGESTOZYME 20 COATED TABLETS 250MG,75.0
91484,DIGICOMAG CHEWABLE 20 TAB,64.0
79921,DIGLIFLOZ 10MG 30 TABS,318.0
81533,DIGLIFLOZ 5 MG 30 TABS,183.0
85158,diglifloz 5/850 plus tab,159.0
80025,DIGLIFLOZ PLUS 5/1000MG 30TABS,183.0
90668,diglifloz plus xr 10/1000,231.0
64212,DILATROL 25 MG 30 TAB,75.0
64210,DILATROL 6.25 MG 30 TAB,48.0
DILLENGO,DILLENGO 120 ML SYRUP,65.0
92038,DILTIARECT 2% RECTAL CREAM,46.0
88333,DIMAKLARIC 0.15/0.03MG 21 TAB.,29.5
73132,DIMRA 20 TAB,70.0
1051,DINITRA 10MG TAB,12.0
18850,DIOSED C TAB,76.0
63126,DIOSMIN PLUS 30 TAB,111.0
56190,DIPROCORTIN 1 AMP 2 ML,41.0
90933,DIPROSALIC 30G OINTMENT,35.0
73237,DIPROSALIC LOTION 30 ml,43.0
73062,DIPROSALIC OINT 15 GM,28.0
86953,DIPROSONE 0.05% CREAM 30 GM,45.0
74817,DIPROSONE CREAM 10 GM,26.0
34157,DIPROSONE OINT,26.0
52408,DISAAR CLEANSING FOAM WITH VIT-C 200 ML بفرشاة,85.0
87119,DISAAR COLLAGEN 12ML,135.0
87907,DISAAR FACIAL WADH VITAMIN C 100 ML,130.0
83442,DISAAR VITAMIN C SERUM,120.0
87485,DISPATIGRA 10 MG 4 ORODISPERSIBLE TABS.,22.0
21009,DISPERCAM 20MG TAB,18.0
55986,DISPERCAM 30 GM GEL,19.0
56538,DISPERCAM 6 AMP,48.0
75364,DISPRELON-D 20 MG 20 TAB,116.0
91100,DISPRELONE-OD 20 MG 30 TABS,202.5
83060,DISPRELONE-OD 5 MG 30 TABS,84.0
W50,DISTILLED WATER SYRUP,2.5
87170,DITTO SPRAY FOR WOMEN 200ML,100.0
47184,DIVAKOTE ER 250MG TAB,102.0
74336,DIVAKOTE ER 500 MG 20 TABS,106.0
54472,DIVIDO 75 MG 30 TAB,141.0
79843,DIVITON_D 200 I.U. 10ML,50.0
79844,DIVITON_D FORTE 4000 IU 20ML,93.0
65729,DIVOZINE CREAM,42.0
87307,DIXVIT 10.000 I.U. 20 TABS.,120.0
89314,DODGE HAIR TONIC LOTION 120 ML,200.0
88989,DODGE LEAVE IN WITH ARGAN OIL 250 GM,60.0
92393,DODGE LEAVE IN WITH ARGAN OIL 450 GM,100.0
92392,DODGE LEAVE IN WITH SHEA BUTTER CREAM 450 GM,100.0
74582,DOGMATIL 50mg. 30CAP,63.0
32906,DOGMATIL FORTE TAB,40.0
74847,DOLABACTIN 400MG 5TAB,80.0
57850,DOLCYL 2 MG 30 TAB,48.0
57605,DOLCYL 3 MG 30 TAB,54.0
65949,DOLCYL 4MG 30 TAB,69.0
65557,DOLCYL 6 MG 30 TAB,87.0
76561,dolcyl m 2/500mg 20 tab,34.0
87693,DOLIAN 120 ML SYRUP,45.0
89771,DOLIPRANE 1 GM 20 TABS,60.0
80131,DOLIPRANE 1000 MG 15 TABS,48.0
80626,DOLIPRANE 8 TABLETS,9.5
91015,dollar white 10 % 30 gm,255.0
76782,DOLO-D PLUS 115ML SYRUP,41.0
81229,DOLO-D PLUS 20 TABS.,42.0
73329,DOLO D 200MG 20 TAB,25.0
84749,DOLO D 60 ML SYRP,25.0
46744,DOLO D SUSPENSION 115 ML,37.0
46762,DOLPHIN - K 75MG 6 AMP,48.0
74107,DOLPHIN -K 75 MG SUPP,21.0
78120,DOLPHIN 12.5 MG 10-SUPP,36.0
77646,DOLPHIN 25MG 10 SUPP,38.0
76704,DOLPHIN 50 MG 10 SUPP,48.0
64082,DOLPHIN 75 MG/3ML 3AMP,30.0
49525,DOLPHIN GEL 3% 30 GM,34.0
91277,DOLPHIN GEL 3% 60 GM,58.0
47565,DOLPHIN K 50 MG 20 TAB,42.0
89446,DOM VIT ORAL DROPS 30 ML,125.0
68749,DONAZIL 5 MG 30 TAB,144.0
49486,DONEPEZIL 10 MG 14TAB,216.0
52027,DONHIMER 5 MG 30 TAB,195.0
81510,DONIFOXATE 40 TAB,102.0
74234,DONIFOXATE 80 MG 30 F.C. TABLETS,118.5
12094,DORMIVAL CAP,30.0
73416,DOROFEN 30 CAPS,153.0
19121,DOSIN 4MG 20 TABS,46.0
79540,DOSTILACT 2 TABLETS,105.0
452534,DOSTINEX .5 MG 2TAB,172.0
91367,doumega 60/100 mg 8 tab,194.0
74280,DOWNOPRAZOL 20 MG 14 TAB,74.0
78375,DOWNOPRAZOL 20/1680MG PD. 7 SACHETS,35.0
74225,DOWNOPRAZOL 40 MG 14 TAB,95.0
DN,DOWNOPRAZOL 40/1680MG PD. 7 SACHETS,42.0
73962,DOWNSTEROLIN 10/20 MG 28 TAB,122.0
73946,DOWNSTEROLIN 10/40 MG 28 TAB,160.0
64061,DOXIPROCT OINT,40.0
48294,DOXIPROCT PLUS OINTMENT,40.0
74557,DOXIRAZOL 30 MG 14 TAB,65.0
74358,DOXIRAZOL 60 MG 14 TAB,101.0
74146,DOXIUM 500MG 30 CAPS,365.0
60075,DOXYCOST 200 MG 10 TAB,43.0
81346,DOXYCOST 50MG 30 TABS,51.0
68748,DOXYDOX 100 MG 10 CAP,23.0
88007,DOZOVA ASHWAGANDHA 300 MG 60 CAPS,394.0
92049,DR OXYGEN CALCIUM 30 TABLETS,150.0
91745,DR OXYGEN IMMUNITY KIDS 120 ML SYRUP,75.0
92426,dr oxygen vitamin d drops,60.0
88272,DRAKON WHITENING FACIAL WASH 200 ML,240.0
74179,DRAMENEX 50 MG 20 TAB,28.0
89759,DRAVIRON 20 TABLETS,75.0
89760,DRAVOCAL 120 ML,50.0
87189,DRINKING 100G POWDER,60.0
79023,DRINKING 10SACHETS,35.0
79278,DROPIFLOX EAR DROP,39.0
80779,DROSPADIOL 0.03/3MG 21 F.C.TABS,87.0
82803,DROSPIFEM 3/0.03MG 21TABS,87.0
83984,DROSPINETTA 4 MG 28 F.C. TABS,112.0
91882,DugoFem Cap,350.0
90696,dugofertin 20tab,260.0
92245,DUGOFOLA 20 TABS,125.0
91414,DUGONER 20 CAPSULES,280.0
73988,DULAGEN 10 PACKETS.,245.0
88088,DULOXEPRIN 20 MG 28 CAPSULES,148.0
76985,DULOXEPRIN 30 MG 28 CAPS,180.0
79542,DULOXEPRIN 60MG 28CAPSULES,214.0
88704,DULOXIFUTAL 30 MG 30 CAPS,303.0
72335,DUODART 0.5/0.4 MG 30 CAP (GSK),491.0
76522,DUOEFFECTUM EYE DROPS 10 ML,32.0
47699,DUOTRAV EYE DROPS. 2.5 ML,232.0
79164,DUPHALAC 667GM/L SYRUP 200ML,143.0
73609,DUPHASTON 10 MG 60 TAB,386.0
46795,DURAZAC WEEKLY 90MG 4 DELAYED RELEASE CAPS.,48.0
66795,DUREX MUTUAL PLEASURE 3 CONDOMS,175.0
87802,DUREX PERFECT GLIDE 50 ML,305.0
87804,DUREX REAL FEEL 50 ML,190.0
87803,DUREX WARMING 50 ML,350.0
60182,DUREX. FETHERLITE ULTRA 3 CONDOMS,160.0
8554,DURICEF 1 GM 6 DISPTAB,58.0
73495,DURICEF 1 GM 8 TAB,78.0
74518,DURICEF 125MG SUSP,20.0
74604,DURICEF 250MG SUSP,49.0
8975,DURICEF 500 MG 12 CAP,72.0
6121,DURICEF 500MG SUSP,78.0
64430,DURJOY 60 MG 3 TAB,59.5
88202,DURY 10 SACHETS,105.0
75013,DUSPATALIN RETARD 200 MG 30 CAP,138.0
30289,E-MOX 125MG SUSP,30.0
30290,E-MOX 250MG SUSP,38.0
1587,E-MOX 500MG CAP,40.0
74741,E-MOXCLAV 156MG SUSP,36.0
73959,E-MOXCLAV 1GM TAB,96.0
61436,E-MOXCLAV 228.5GM,49.0
74324,E-MOXCLAV 312MG SUSP,56.0
74203,E-MOXCLAV 625MG TAB,83.0
82955,E-MOXCLAV 642.9MG/5ML SUSP. 75 ML,73.0
74423,E-MOXCLAV SYP 457 MG 70 ML,67.0
49636,E-YEAST 20 TAB,125.0
92684,eadbaz c 125 ml,200.0
58906,EASY SLIM ORLISTAT 120 MG 10 CAPS,30.0
79277,EASYCOL BABY ORAL DROPS 15 ML,325.0
86860,EAU DE MER ISTONIC NASAL CLEANING 100 ML,220.0
154651,EAZEX-LINE GEL 30 GM,60.0
88582,EAZEX-LINE GEL 50 GM,75.0
67534,EBA-ACT HAIR LOTION 120ML,249.0
74715,EBAFIX HAIR SERUM 120ML,219.0
66311,EBAFIX HAIR SHAMPO 200 ML,150.0
90550,EBAMYLASE OR 100ML SYRUP,55.0
86924,EBASTINE-BORG 0.1% SYRUP 60 ML,15.0
47560,EBIXA 10MG 28TAB,362.5
88004,ECLATREM 120 GM CR,125.0
79218,ECONOPRED PLUS 1% EYE DROPS 5ML,43.0
91464,ECOTO 20 PIECES,135.0
83684,ECTOHYLO EYE DROPS 20AMP,510.0
30100,ECTOMETHRIN 5%EMULSION,55.0
73458,ECTOMETHRIN 5%LOTION 50 ML,55.0
75329,ECTONEX NASAL SPRAY ADULT,370.0
75127,ECTONEX NASAL SPRAY KIDS,370.0
33005,EDEMEX 1 MG 20 TAB,28.0
90839,EDICIN 1 GM PD. FOR I.V. INF. VIAL,204.0
79543,EDUROPAN 20TABLETS,31.0
74899,EFALEX 30 CAP,200.0
81502,EFECTINIX 5 MG TAB,64.0
67464,EFEMYO DROPS 10 ML,44.0
37108,EFEXOR XR 75 MG CAP,158.0
26676,EFEXOR XR150 MG 14 CAP,230.0
82730,EFFEGAD 75 14 CAP,76.0
59993,EFLOTISM CREAM 15 GM,100.0
90714,EFUCISAN 1% 5GM,28.0
66008,EGY-TRON 10 SACHETS,100.0
55223,EGY DRONATE 2 TAB,70.0
83504,EGY PEDICAL PLUS SYRUP 100ML,65.0
81254,EGYCOFER 10SACHET,130.0
83146,EGYCUSATE PLUS 30TABS,48.0
63217,EGYCUSATE SYRUP 100ML,25.0
79161,EGYGASTREAZ 100MG 60ML SUSP,31.0
66047,EGYNIR 125 MG SUSP 60 ML,49.0
65954,EGYPRO 5 MG 30 TAB,63.0
90254,ekiroz 40 mg 14 tab,82.0
81512,ELARPIC 20 MG TABS,118.0
91003,ELAY 70ML SPRAY,130.0
85912,ELBALLERGE 30 MG 100 ML SYRUP,33.0
87719,ELBALURAN 20 MG 30 TABLETS,165.0
86540,ELBALURAN 80 MG 30 TAB,447.0
23031,ELBAVIT SYP 60 ML,39.0
73839,ELBAVIT SYP W/IRON 60 ML,40.0
47094,ELICA M CREAM 3OM,52.0
59702,ELICASAL OINTMENT 15GM,34.5
52053,ELICASAL OINTMENT 30GM,52.0
23595,ELIDEL CREAM 15 GM,305.0
79367,ELIMASSAGE GEL 50GM,33.0
79545,ELIMBOSIS 2.5MG,248.25
80000,ELIMBOSIS 5MG 30TABS,269.25
68753,ELIQUIS 2.5 MG 20 TAB,532.0
68754,ELIQUIS 5 MG 20 TAB,532.0
57101,ELITAC CREAM 50 GM,45.0
91181,ELIXOZOLID 2MG/ML IV SOL. 300 ML,255.0
80385,ELIXOZOLID 600MG 10TABS,166.0
92017,ELMODOXACIN 750MG 10 TAB,59.5
73684,ELONDA 0.5MG 2 TAB,125.0
84465,ELONE KERATIN CREAM 120ML,275.0
89315,ELPRO 20 TABS,95.0
90462,ELTROXIN-50MCG 100 TAB IMP,700.0
89889,eltroxin 100,750.0
37837,ELTROXIN 100 MG 100 TAB (ASPEN) IMP,750.0
45461,ELTROXIN 50MG TAB,78.0
23300,EM-EX 1 MG 1 ML 3AMP,90.0
37404,EM-EX 3 MG 3 ML 1AMP,90.0
81661B,EMAITOPRIDE 30 TAB,48.0
89071,EMANA CHOCOLATE FLAVOR 10 SACHETS,145.0
82697,EMBANODEX 5MG ODT,66.0
82562,EMBANODEX SYRUP100 ML,19.0
91086,EMBROSITOL 1:6.3 FORTE 30 FLIM,500.0
90762,EMBROSITOL 40/1-30 TAB,220.0
90489,EMBROSITOL 40:1 60 TAB,380.0
66010,EMEREST 4 MG 5 AMP,142.5
90766,EMEREST 8MG 3 AMP,159.0
74602,EMETREX-N AMP,15.0
28685,EMETREX 20TAB,44.0
88219,EMILIA HAIR OIL ROSEMARY 250 ML,400.0
87462,EMILIA LASH SERUM,100.0
87975,EMILIA LOTION HAND BODY 212 RED,90.0
54312,EMLA CREAM 7.5% 30 GM,200.0
63290,EMMYROSA HAIR LOTION 120ML,249.0
74968,EMO SOFT CREAM 15GM,40.0
30592,EMO SOFT CREAM 30GM,60.0
