product_name_ar,product_name_en,store_product_id,product_id,sale_price
ابيدكسون 1 مجم / مل قطره 5 مل,EPIDEXONE 1 MG / ML EYE / EAR DROPS 5 ML,1838274.0,5237.0,13.0
ابيدكسون بلس 1 مجم / مل قطره 5 مل,EPIDEXONE PLUS 1 MG / ML EYE / EAR DROPS 5 ML,1671069.0,82757.0,20.0
ابيدون شراب 125 مل,APIDONE SYRUP 125 ML,2142553.0,1078.0,24.0
ابيديرم كريم 50 جم,EPIDERM SOOTHING CREAM 50 GM,2145364.0,5235.0,70.0
ابيرازول 20 مجم 14 كبسول,EPIRAZOLE 20 MG 14 CAPS.,2452821.0,5283.0,44.0
ابيرازول 40 مجم 10 كبسول,EPIRAZOLE 40 MG 10 CAPS,2638681.0,126017.0,41.5
ابيرليفان 40 مجم / مل امبول,EPIRELEFAN 40 MG / ML I.M AMP.,2506936.0,5284.0,38.0
ابيروفاستين 10 مجم 14 اقراص,EPIROVASTIN 10 MG 14 SCORED F.C. TAB,2434911.0,81590.0,56.0
ابيروفاستين 10 مجم 7 اقراص,EPIROVASTIN 10 MG 7 SCORED F.C. TAB,2627643.0,5287.0,21.0
ابيروفاستين 20 مجم 14 اقراص,EPIROVASTIN 20 MG 14 TABS,1545709.0,80584.0,57.0
ابيروفاستين 20 مجم 7 اقراص,EPIROVASTIN 20 MG 7 F.C. TAB,2487280.0,5288.0,28.5
ابيريزين 10 مجم 10 اقراص,EPIRIZINE 10 MG 10 TAB.,1555218.0,5285.0,15.5
ابيريزين 5 مجم / مل شراب 60 مل,EPIRIZINE 5 MG / ML SYRUP 60 ML,2191727.0,5286.0,10.5
ابيزيثرو 200 مجم / 5 مل 15 مل شراب,EPIZITHRO 200 MG / 5 ML 15 ML SUSP,2265899.0,5307.0,47.0
ابيزيثرو 200 مجم / 5 مل 30 مل شراب,EPIZITHRO 200 MG / 5 ML 30 ML SUSP,1121165.0,5308.0,68.0
ابيزيثرو 500 مجم 3 كبسول,EPIZITHRO 500 MG 3 CAPS,2401797.0,5309.0,62.0
ابيزيثرو 500 مجم 6 كبسول,EPIZITHRO 500 MG 6 CAPS,2560244.0,135739.0,124.0
ابيستجمين 0.05 % 5 امبول 1 مل,EPISTIGMIN 0.05 % 5 AMPOULES 1 ML,1738416.0,5297.0,10.0
ابيستجمين 0.25 % 1 امبول 5 مل,EPISTIGMIN 0.25 % VIAL 5 ML,2434928.0,5298.0,42.0
ابيسوبت قطره 5 مل,EPISOPT EYE DROPS 5 ML,2434929.0,5295.0,70.0
ابيسيفين 1 جم امبول عضل,EPICEPHIN 1 GM I.M.VIAL,2671551.0,5204.0,60.0
ابيسيفين 1 جم امبول وريد,EPICEPHIN 1 GM I.V. VIAL,2126756.0,5205.0,60.0
ابيسيفين 2 جم امبول وريد,EPICEPHIN 2 GM I.V. VIAL,2559887.0,5206.0,77.0
ابيفاسي 5000 وحده امبول,EPIFASI 5000 I.U. AMP.,2604156.0,5240.0,500.0
ابيفورتيل 30 كبسول,APIFORTYL 30 CAPS.,2642743.0,1081.0,150.0
ابيفيناك 0.1 % قطره 5 مل,EPIFENAC 0.1 % EYE DROPS 5 ML,925434.0,5241.0,20.0
ابيفيناك 100 مجم 5 لبوس,EPIFENAC 100 MG 5 RECTAL SUPP.,1608263.0,5242.0,21.0
ابيفيناك 12.5 مجم 5 لبوس,EPIFENAC 12.5 MG 5 SUPP.,919485.0,5244.0,9.0
ابيفيناك 25 مجم 20 اقراص,EPIFENAC 25 MG 20 ENTERIC COATED TAB.,2050451.0,5245.0,12.0
ابيفيناك 25 مجم 5 لبوس,EPIFENAC 25 MG 5 SUPP.,1700729.0,5246.0,9.0
ابيفيناك 50 مجم 20 اقراص,EPIFENAC 50 MG 20 ENTERIC COATED TAB.,2208637.0,5248.0,30.0
ابيفيناك 50 مجم 5 لبوس,EPIFENAC 50 MG 5 SUPP.,2616678.0,5247.0,19.0
ابيفيناك 75 مجم / 3 مل 3 امبول,EPIFENAC 75 MG / 3 ML I.M. / I.V. 3 AMP.,2113291.0,5250.0,36.0
ابيفيناك اس ار 100 مجم 10 كبسول,EPIFENAC 100 MG S.R. 10 CAPS.,2145485.0,5243.0,33.0
ابيفيناك اس ار 75 مجم 10 اقراص,EPIFENAC 75 MG S.R. 10 TABS.,2145915.0,5249.0,29.0
ابيفينيكول 1 % مرهم للعين 5 جم,EPIPHENICOL 1 % EYE OINT. 5 GM,2495221.0,5278.0,15.0
ابيكافيت 10 مجم / مل 3 امبول,EPIKAVIT 10 MG / ML 3 AMP.,2688346.0,5257.0,36.0
ابيكروم 4 % قطره 10 مل,EPICROM 4 % EYE DROPS 10 ML,2651899.0,5232.0,23.0
ابيكس ببرونه 150 مل بيد,APEX BABY BOTTLE 150 ML WITH HAND,2331145.0,139830.0,30.0
ابيكس ببرونه 250 مل بيد,APEX BABY BOTTLE 250 ML WITH HAND,2633879.0,139831.0,35.0
ابيكس ببرونه 60 مل,APEX BABY BOTTLE 60 ML,2633881.0,139829.0,25.0
